CLASS;Deck;Type Rm.;# Of Rms.;# of Berths;Rate;Revenue
First;;;;;;
;A;Single;30;30;£30;£900
;A;Triple;4;12;£30;£360
;B;Parlour;2;;£870;£1740
;B;Single;31;31;£30;£930
;B;Double;34;68;£30;£2040
;B;Triple;8;24;£30;£720
;C;Parlour;2;;£870;£1740
;C;Single;15;15;£30;£450
;C;Double;62;124;£30;£3720
;C;Triple;57;171;£30;£5130
;D;Single;11;11;£30;£330
;D;Double;8;16;£30;£480
;D;Triple;30;90;£30;£2700
;E;Single;9;9;£30;£270
;E;Double;2;4;£30;£120
;E;Triple;28;84;£30;£2520
;;;;;;£24,150
CLASS;Deck;Type Rm.;# Of Rms.;# of Berths;Rate;Revenue
Second;;;;;;
;D;Double;19;38;£12;£456
;D;Quad;20;80;£12;£960
;E;Double;15;30;£12;£360
;E;Quad;49;196;£12;£2352
;F;Double;19;38;£12;£456
;F;Quad;45;181;£12;£2160
;G;Double;23;46;£12;£552
;G;Triple;2;6;£12;£72
;G;Quad;15;60;£12;£720
;;;;;;£8088
Third;;;;;;
;D;Double;4;8;£3;£24
;D;Sextet;7;42;£3;£126
;E;Double;26;52;£3;£156
;E;Quad;40;160;£3;£480
;E;Sextet;8;48;£3;£144
;F;Double;31;62;£3;£186
;F;Quad;59;236;£3;£708
;F;Sextet;18;108;£3;£324
;G;Double;5;10;£3;£30
;G;Quad;13;52;£3;£156
;G;Sextet;4;24;£3;£72
;G;Octet;5;40;£3;£120
;G;10;2;20;£3;£60
;G;OPEN;;164;£3;£492
;;;;;;£3078
;;;;;Total;£35,316
